,Subject Age Group,Stop Resolution,Weapon Type,Officer Gender,Officer Race,Subject Perceived Race,Subject Perceived Gender,Officer Age,Weekday,Time of Month,Precinct,Watch,Final Call Re-map,Initial Call Re-map
40,0,0,None,0,White,Asian,0,5,1,3,SOUTHWEST,2,unknown,unknown
41,0,0,None,0,White,White,0,4,3,1,WEST,0,unknown,unknown
42,0,0,None,0,Multi-Racial,Unknown,2,3,4,1,WEST,2,unknown,unknown
43,0,0,Firearm,0,White,Unknown,2,6,5,2,SOUTHWEST,3,unknown,unknown
44,0,0,None,0,Hispanic,African American,1,5,6,2,SOUTH,1,unknown,unknown
45,0,0,None,0,African American,Unknown,2,3,5,3,SOUTH,1,unknown,unknown
46,0,0,None,0,African American,Unknown,0,3,3,1,SOUTH,1,unknown,unknown
47,0,0,None,0,Hispanic,Asian,1,5,3,2,SOUTH,1,unknown,unknown
48,0,0,None,0,White,African American,0,4,6,1,Unknown,0,unknown,unknown
49,0,0,None,0,Hispanic,White,0,3,2,2,WEST,3,unknown,unknown
50,0,0,None,1,White,Unknown,2,4,2,3,WEST,2,unknown,unknown
51,0,0,None,0,White,White,0,6,2,1,WEST,2,unknown,unknown
52,0,0,None,0,White,Unknown,2,3,3,2,NORTH,2,unknown,unknown
53,0,0,None,0,African American,Unknown,2,3,4,2,SOUTH,1,unknown,unknown
54,0,0,None,0,Hispanic,African American,0,5,2,2,WEST,2,unknown,unknown
55,0,0,None,0,White,Asian,1,5,1,3,SOUTHWEST,2,unknown,unknown
56,0,0,None,0,White,White,0,4,3,1,WEST,0,unknown,unknown
57,0,0,None,0,White,Unknown,2,3,4,2,TRAINING,0,unknown,unknown
58,0,0,None,0,White,African American,0,3,1,2,TRAINING,0,unknown,unknown
59,0,0,Firearm,0,White,Unknown,2,6,5,2,SOUTHWEST,3,unknown,unknown
60,0,0,Firearm,0,White,Unknown,2,6,5,2,SOUTHWEST,3,unknown,unknown
61,0,0,None,0,African American,African American,0,3,2,3,SOUTH,1,unknown,unknown
62,0,0,None,0,African American,White,1,3,2,3,SOUTH,1,unknown,unknown
63,0,0,None,0,African American,Unknown,0,3,5,2,WEST,2,unknown,unknown
64,0,0,None,0,Hispanic,White,0,5,4,2,WEST,2,unknown,unknown
65,0,0,None,0,Hispanic,African American,0,5,4,2,WEST,2,unknown,unknown
66,0,0,None,0,White,Unknown,2,3,5,2,SOUTH,1,unknown,unknown
67,0,0,None,1,White,White,0,4,3,3,WEST,3,unknown,unknown
68,0,0,None,0,Hispanic,Unknown,2,4,1,3,WEST,2,unknown,unknown
69,0,1,None,0,White,Unknown,2,3,6,1,NORTH,2,unknown,unknown
70,0,0,None,0,White,White,0,3,1,2,EAST,3,vice,suspicious
71,0,0,None,0,White,Unknown,2,5,1,2,EAST,1,trespass,suspicious
72,0,0,None,0,White,Unknown,2,4,4,2,SOUTH,3,weapon,weapon
73,0,0,None,0,White,African American,0,2,1,2,SOUTH,3,domestic violence,disturbance
74,0,1,None,0,Hispanic,Unknown,2,4,5,3,WEST,2,under influence,under influence
75,0,1,None,0,White,Unknown,2,4,5,3,SOUTHWEST,2,traffic,auto
76,0,0,None,0,Hispanic,African American,0,5,3,2,SOUTH,1,unknown,unknown
77,0,0,None,0,White,Unknown,2,3,5,2,EAST,2,unknown,unknown
78,0,0,None,0,White,Unknown,2,4,1,2,NORTH,2,unknown,unknown
79,0,0,None,0,White,Unknown,2,3,5,3,SOUTH,1,unknown,unknown
80,0,0,None,0,White,Unknown,2,4,0,3,SOUTHWEST,2,unknown,unknown
81,0,0,None,0,White,Unknown,2,3,3,1,TRAINING,0,unknown,unknown
82,0,0,None,1,White,Unknown,0,5,5,2,EAST,1,unknown,unknown
83,0,0,None,0,Hispanic,African American,0,5,4,2,SOUTH,1,unknown,unknown
84,0,0,None,0,White,Unknown,2,3,5,2,SOUTH,1,unknown,unknown
85,0,1,None,0,White,Unknown,2,2,0,2,Unknown,0,theft,theft
86,0,1,None,0,White,Unknown,0,6,0,1,Unknown,0,suspicious,suspicious
87,0,1,None,0,African American,Unknown,2,4,6,2,NORTH,1,theft,theft
88,0,1,None,0,White,Unknown,2,4,5,3,SOUTHWEST,2,traffic,auto
89,0,0,None,1,White,White,0,4,5,3,SOUTH,2,domestic violence,assault
90,0,0,None,0,White,Unknown,1,3,2,2,NORTH,0,unknown,unknown
91,0,0,None,0,White,White,0,3,6,1,TRAINING,0,unknown,unknown
92,0,0,None,1,White,Unknown,2,4,4,2,NORTH,3,unknown,unknown
93,0,0,None,0,White,Unknown,2,3,2,2,TRAINING,0,unknown,unknown
94,0,0,None,0,White,White,0,4,0,2,SOUTHWEST,1,unknown,unknown
95,0,0,None,0,White,Unknown,2,4,1,2,NORTH,2,unknown,unknown
96,0,0,None,0,White,Unknown,2,3,5,3,SOUTH,1,unknown,unknown
97,0,0,None,0,Hispanic,African American,0,5,4,1,SOUTH,1,unknown,unknown
98,0,0,None,0,White,Unknown,2,4,6,2,WEST,2,unknown,unknown
99,0,0,None,0,White,Unknown,2,3,2,3,NORTH,3,unknown,unknown
100,0,0,None,0,Hispanic,African American,0,5,4,2,WEST,2,unknown,unknown
101,0,0,None,0,Hispanic,White,1,4,1,3,WEST,2,unknown,unknown
102,0,1,None,0,African American,Unknown,2,4,6,2,NORTH,1,theft,theft
103,0,0,None,1,White,Unknown,2,4,5,3,SOUTH,2,domestic violence,assault
104,0,0,None,0,African American,White,0,4,5,1,NORTH,1,theft,theft
105,0,1,None,1,White,White,0,4,6,3,NORTH,3,domestic violence,assault
106,0,1,None,1,Multi-Racial,Unknown,0,2,2,1,WEST,2,traffic,auto
107,0,1,None,1,Multi-Racial,Unknown,0,2,2,1,WEST,2,traffic,auto
108,0,0,None,0,White,Unknown,2,3,3,1,EAST,3,disturbance,disturbance
109,0,0,None,0,White,White,0,3,4,1,NORTH,1,suspicious,suspicious
110,0,1,Firearm,0,White,African American,0,4,0,2,SOUTH,3,weapon,weapon
111,0,0,Firearm,0,White,African American,1,4,0,2,SOUTH,3,weapon,weapon
112,0,1,None,0,White,White,0,3,1,2,NORTH,1,property damage,disturbance
113,0,0,None,0,Native,Unknown,2,3,3,1,NORTH,2,suspicious,trespass
114,0,0,None,0,White,White,0,4,3,3,NORTH,1,disturbance,person in crisis
115,0,0,None,0,White,White,1,4,3,3,NORTH,1,domestic violence,disturbance
116,0,0,Firearm,0,White,African American,0,4,0,2,SOUTH,3,weapon,weapon
117,0,0,None,0,White,Unknown,2,5,3,2,NORTH,3,unknown,unknown
118,0,0,None,0,White,Unknown,2,4,5,2,NORTH,2,theft,theft
119,0,0,None,0,White,Asian,0,4,6,2,WEST,2,kidnap,disturbance
120,0,1,None,0,White,Unknown,2,3,0,2,SOUTH,1,auto,auto
121,0,0,None,0,Native,Unknown,2,3,3,1,NORTH,2,suspicious,trespass
122,0,0,None,0,Hispanic,African American,0,5,2,3,WEST,2,suspicious,suspicious
123,0,0,None,0,Hispanic,Unknown,2,5,6,3,SOUTH,1,warrant,suspicious
124,0,0,None,0,White,Unknown,0,3,2,1,TRAINING,0,suspicious,suspicious
125,0,1,Lethal Blade,0,Native,Unknown,2,3,3,1,NORTH,2,assault,weapon
126,0,0,None,0,Native,Unknown,2,3,3,1,NORTH,2,domestic violence,disturbance
127,0,0,None,0,White,Unknown,0,5,0,3,EAST,1,trespass,trespass
128,0,0,None,0,White,White,0,3,3,3,NORTH,3,suspicious,suspicious
129,0,1,None,0,African American,African American,0,5,3,3,NORTH,1,assault,assault
130,0,1,None,1,Multi-Racial,Unknown,0,2,1,3,WEST,2,traffic,auto
131,0,0,None,0,White,Unknown,2,3,3,1,EAST,3,disturbance,disturbance
132,0,0,None,1,Asian,Unknown,0,3,2,2,EAST,1,unknown,unknown
133,0,0,None,0,White,White,0,4,3,3,NORTH,1,domestic violence,disturbance
134,0,1,None,0,Hispanic,Unknown,2,5,6,3,SOUTH,1,warrant,suspicious
135,0,0,None,0,White,Unknown,0,3,2,1,TRAINING,0,suspicious,suspicious
136,0,0,Firearm,0,African American,Unknown,0,3,4,1,WEST,2,traffic,traffic
137,0,1,Lethal Blade,0,Hispanic,White,0,3,5,1,SOUTH,3,weapon,assault
138,0,0,None,0,White,Unknown,2,5,3,2,Unknown,0,unknown,unknown
139,0,0,None,0,White,White,0,5,5,2,Unknown,0,unknown,unknown
140,0,0,None,0,White,African American,0,4,4,1,Unknown,0,unknown,unknown
141,0,0,None,0,Hispanic,Unknown,1,3,2,2,WEST,3,unknown,unknown
142,0,0,None,1,White,Unknown,2,4,2,3,WEST,2,unknown,unknown
143,0,0,None,0,White,Unknown,2,3,6,3,TRAINING,0,unknown,unknown
144,0,0,None,0,White,African American,0,6,2,1,WEST,2,unknown,unknown
145,0,0,None,0,White,Unknown,2,4,1,2,NORTH,2,unknown,unknown
146,0,0,None,0,White,Unknown,0,5,3,2,WEST,3,unknown,unknown
147,0,0,None,0,White,Native,0,5,3,2,WEST,3,unknown,unknown
148,0,0,None,0,Hispanic,Unknown,2,5,0,2,SOUTH,1,unknown,unknown
149,0,0,Firearm,0,White,Unknown,2,6,5,2,SOUTHWEST,3,unknown,unknown
150,0,0,Firearm,0,White,Unknown,2,6,5,2,SOUTHWEST,3,unknown,unknown
151,0,0,None,0,Asian,White,1,5,1,2,WEST,2,unknown,unknown
152,0,0,None,0,White,Unknown,2,3,3,1,SOUTH,0,unknown,unknown
153,0,0,None,0,African American,African American,0,3,3,2,WEST,2,unknown,unknown
154,0,0,None,0,Hispanic,African American,0,5,3,2,SOUTH,1,unknown,unknown
155,0,0,None,0,Hispanic,African American,0,5,3,2,SOUTH,1,unknown,unknown
156,0,0,None,0,White,Unknown,1,4,6,3,NORTH,1,unknown,unknown
157,0,0,None,0,Hispanic,Unknown,2,4,5,1,SOUTH,2,unknown,unknown
158,0,0,None,0,White,Unknown,2,3,0,2,WEST,3,unknown,unknown
159,0,0,None,0,White,African American,0,2,4,1,TRAINING,0,unknown,unknown
160,0,0,None,0,White,African American,1,2,4,1,TRAINING,0,unknown,unknown
161,0,0,None,0,White,Unknown,2,3,2,2,TRAINING,0,unknown,unknown
162,0,0,None,0,Hispanic,White,0,5,3,1,SOUTH,1,unknown,unknown
163,0,0,None,0,Hispanic,African American,0,5,4,1,SOUTH,1,unknown,unknown
164,0,0,None,0,Hispanic,Asian,1,5,4,1,SOUTH,1,unknown,unknown
165,0,0,None,0,White,African American,0,4,5,1,WEST,0,unknown,unknown
166,0,0,None,0,Hispanic,White,0,5,1,2,SOUTH,1,unknown,unknown
167,0,0,None,0,Hispanic,African American,0,5,4,2,WEST,2,unknown,unknown
168,0,0,None,0,Hispanic,Hispanic,1,5,4,2,WEST,2,unknown,unknown
169,0,0,None,1,White,White,1,4,6,1,Unknown,0,domestic violence,disturbance
170,0,0,None,1,White,White,0,4,6,1,Unknown,0,domestic violence,disturbance
171,0,0,None,1,White,Unknown,2,5,6,2,Unknown,0,domestic violence,disturbance
172,0,0,None,0,White,Unknown,2,4,4,2,SOUTH,3,weapon,weapon
173,0,1,None,0,White,Unknown,2,4,5,3,SOUTHWEST,2,traffic,auto
174,0,1,None,1,White,White,1,4,6,3,NORTH,3,domestic violence,assault
175,0,0,None,0,White,White,1,3,3,3,NORTH,3,suspicious,suspicious
176,0,1,None,1,Multi-Racial,Unknown,0,2,1,3,WEST,2,traffic,auto
177,0,0,Firearm,0,White,African American,0,4,0,2,SOUTH,3,weapon,weapon
178,0,0,Firearm,0,White,African American,0,4,0,2,SOUTH,3,weapon,weapon
179,0,0,None,0,White,White,0,4,4,2,NORTH,1,suspicious,disturbance
180,0,0,None,0,Hispanic,Native,0,3,3,1,SOUTHWEST,1,suspicious,theft
181,0,1,None,0,White,Unknown,2,3,5,3,TRAINING,0,theft,theft
182,0,1,None,0,Unknown,Unknown,0,3,0,3,NORTH,3,theft,suspicious
183,0,0,None,0,White,White,0,3,2,3,TRAINING,0,warrant,suspicious
184,0,0,None,0,White,Unknown,2,3,2,3,TRAINING,0,warrant,suspicious
185,0,1,None,0,White,Unknown,2,3,2,3,TRAINING,0,warrant,suspicious
186,0,0,None,0,White,Unknown,2,5,6,1,SOUTHWEST,0,theft,theft
187,0,1,Firearm,0,Unknown,African American,0,3,3,1,NORTH,3,domestic violence,weapon
188,0,0,None,0,White,Unknown,0,3,3,1,TRAINING,0,person in crisis,trespass
189,0,0,None,0,White,Unknown,2,4,0,2,SOUTHWEST,1,theft,kidnap
190,0,0,None,1,White,Unknown,2,4,4,2,EAST,1,trespass,trespass
191,0,0,None,0,Native,Unknown,2,3,3,1,NORTH,2,domestic violence,disturbance
192,0,1,None,0,African American,Unknown,2,3,3,3,SOUTH,1,warrant,suspicious
193,0,0,None,0,White,Unknown,2,3,4,3,TRAINING,0,trespass,disturbance
194,0,1,None,0,White,Unknown,2,4,4,3,SOUTH,3,warrant,warrant
195,0,0,None,0,White,Unknown,2,3,1,3,WEST,3,suspicious,suspicious
196,0,0,None,0,White,Unknown,1,5,6,1,SOUTHWEST,0,weapon,weapon
197,0,0,None,0,African American,Unknown,2,5,5,2,NORTH,1,traffic,traffic
198,0,0,None,0,Native,Unknown,2,3,3,1,NORTH,2,disturbance,assault
199,0,1,None,0,Unknown,White,1,3,6,3,NORTH,3,unknown,unknown
200,0,0,None,0,White,Unknown,2,5,1,2,EAST,1,trespass,suspicious
201,0,0,None,0,White,Unknown,2,3,5,2,TRAINING,0,weapon,weapon
202,0,0,None,0,White,Multi-Racial,2,6,1,2,NORTH,1,mischief,mischief
203,0,0,None,0,White,Unknown,2,3,1,3,WEST,3,suspicious,suspicious
204,0,0,None,1,White,Multi-Racial,0,3,6,2,NORTH,1,suspicious,theft
205,0,0,None,1,White,African American,0,3,6,2,NORTH,1,suspicious,theft
206,0,0,None,1,White,Hispanic,0,3,6,2,NORTH,1,suspicious,theft
207,0,0,None,1,Asian,Asian,0,3,3,3,EAST,1,theft,theft
208,0,0,None,0,White,Unknown,2,3,0,2,TRAINING,0,traffic,suspicious
209,0,0,None,0,Asian,Unknown,2,3,4,2,SOUTH,3,suspicious,suspicious
210,0,0,None,0,Native,Unknown,2,3,3,1,NORTH,2,theft,theft
211,0,0,None,0,White,Unknown,2,3,6,2,SOUTH,1,disturbance,theft
212,0,0,None,0,African American,African American,0,5,5,2,NORTH,1,person in crisis,unknown
213,0,1,None,0,African American,White,0,4,6,3,NORTH,1,warrant,homicide
214,0,1,Lethal Blade,0,African American,African American,0,3,0,3,WEST,2,warrant,suspicious
215,0,0,None,0,White,Unknown,0,4,5,1,SOUTHWEST,2,disturbance,assault
216,0,0,None,1,White,Asian,1,4,2,2,NARC,0,unknown,unknown
217,0,0,None,0,White,Unknown,2,3,2,1,NORTH,3,disturbance,disturbance
218,0,0,None,0,White,Unknown,1,3,2,1,NORTH,3,disturbance,disturbance
219,0,1,None,0,Hispanic,African American,0,5,5,3,SOUTH,1,domestic violence,disturbance
220,0,0,None,0,White,Unknown,2,3,1,2,TRAINING,0,trespass,suspicious
221,0,0,None,0,White,Unknown,2,4,4,2,SOUTHWEST,2,suspicious,trespass
222,0,1,None,0,African American,African American,0,3,0,2,SOUTH,1,under influence,under influence
223,0,0,None,1,White,Unknown,2,4,4,2,EAST,1,trespass,trespass
224,0,0,None,1,African American,Unknown,2,3,5,2,SOUTH,3,weapon,weapon
225,0,0,None,0,Native,Unknown,2,3,3,1,NORTH,2,theft,theft
226,0,0,Lethal Blade,0,White,White,0,4,3,1,EAST,3,suspicious,theft
227,0,1,None,0,African American,Unknown,0,3,4,1,SOUTH,1,theft,disturbance
228,0,1,None,0,African American,Hispanic,0,3,3,1,WEST,2,under influence,under influence
229,0,1,None,0,African American,Hispanic,0,3,3,1,WEST,2,under influence,under influence
230,0,1,None,0,African American,Hispanic,0,3,3,1,WEST,2,under influence,under influence
231,0,1,Firearm,1,White,Asian,0,2,0,1,SOUTH,3,auto,auto
232,0,1,None,0,White,White,0,2,5,2,SOUTH,3,theft,theft
233,0,0,None,0,White,Asian,0,5,0,2,NORTH,2,assault,disturbance
234,0,0,None,0,White,White,0,4,6,3,NORTH,3,domestic violence,assault
235,0,0,None,1,White,African American,0,4,6,2,EAST,1,suspicious,theft
236,0,0,None,0,White,Unknown,2,5,4,3,NORTH,2,unknown,unknown
237,0,0,None,0,White,Unknown,2,5,4,3,NORTH,2,unknown,unknown
238,0,0,None,0,White,Unknown,2,4,5,1,SOUTHWEST,2,unknown,unknown
239,0,1,None,0,African American,Unknown,1,4,5,1,SOUTH,3,auto,auto
240,0,0,None,0,White,Unknown,2,2,2,2,TRAINING,0,assault,assault
241,0,0,None,0,White,Unknown,2,2,2,2,TRAINING,0,assault,assault
242,0,1,None,0,Hispanic,Unknown,0,4,6,2,SOUTH,2,weapon,auto
243,0,1,None,0,Hispanic,White,0,5,6,1,SOUTH,1,warrant,disturbance
244,0,0,None,0,Hispanic,White,0,5,3,3,WEST,2,warrant,warrant
245,0,0,None,0,White,Unknown,2,2,2,2,TRAINING,0,assault,assault
246,0,0,None,0,African American,African American,0,3,5,2,SOUTH,1,disturbance,disturbance
247,0,1,None,0,White,Unknown,2,4,6,3,SOUTHWEST,2,property damage,theft
248,0,1,None,0,African American,White,0,3,1,2,WEST,2,warrant,assist
249,0,0,None,0,White,Native,0,3,5,3,NORTH,2,assault,assault
250,0,0,None,1,White,White,1,3,2,1,NORTH,2,unknown,unknown
251,0,0,None,0,Asian,Unknown,2,6,4,2,SOUTHWEST,2,unknown,unknown
252,0,0,None,0,White,Unknown,2,3,3,2,NORTH,2,unknown,unknown
253,0,0,None,0,Asian,Unknown,2,6,4,2,SOUTHWEST,2,unknown,unknown
254,0,0,None,0,Asian,Unknown,2,6,5,2,SOUTHWEST,2,unknown,unknown
255,0,0,None,0,White,African American,0,3,6,3,TRAINING,0,unknown,unknown
256,0,0,None,0,Multi-Racial,African American,0,3,4,1,WEST,2,unknown,unknown
257,0,0,None,0,White,White,0,2,3,3,EAST,3,disturbance,disturbance
258,0,0,Lethal Blade,0,African American,Unknown,2,6,5,3,SOUTHWEST,2,trespass,suspicious
259,0,0,None,0,White,Unknown,2,4,5,1,NORTH,2,unknown,unknown
260,0,0,None,0,Asian,Unknown,2,6,4,2,SOUTHWEST,2,unknown,unknown
261,0,0,None,0,Asian,Unknown,2,6,6,2,SOUTHWEST,2,unknown,unknown
262,0,0,None,0,White,African American,0,4,6,3,Unknown,0,unknown,unknown
263,0,0,None,0,White,African American,0,3,6,3,TRAINING,0,unknown,unknown
264,0,0,None,0,White,African American,0,3,6,3,TRAINING,0,unknown,unknown
265,0,0,None,0,White,African American,0,3,6,3,TRAINING,0,unknown,unknown
266,0,0,None,0,White,African American,0,3,6,3,TRAINING,0,unknown,unknown
267,0,0,None,0,White,African American,0,3,6,3,TRAINING,0,unknown,unknown
268,0,0,None,0,White,White,1,3,6,1,TRAINING,0,unknown,unknown
269,0,0,None,0,White,White,1,5,4,2,MAJOR,0,unknown,unknown
270,0,0,None,0,Hispanic,African American,0,5,3,2,SOUTH,1,unknown,unknown
271,0,0,None,0,White,White,0,6,0,1,TRAF,0,unknown,unknown
272,0,0,None,0,Hispanic,White,0,4,2,2,WEST,2,suspicious,suspicious
273,0,1,None,0,Hispanic,Unknown,0,4,6,2,SOUTH,2,weapon,auto
274,0,0,None,0,White,Unknown,2,4,4,1,SOUTHWEST,2,disturbance,disturbance
275,0,0,None,0,White,Native,0,3,5,3,NORTH,2,assault,assault
276,0,0,None,0,Unknown,African American,0,2,5,2,EAST,2,unknown,unknown
277,0,0,None,0,White,White,0,3,6,2,TRAINING,0,unknown,unknown
278,0,0,None,0,White,White,0,4,0,2,WEST,2,unknown,unknown
279,0,0,None,0,Hispanic,African American,0,5,2,2,WEST,2,unknown,unknown
280,0,0,None,0,White,White,0,4,1,2,NORTH,1,unknown,unknown
281,0,0,None,0,White,African American,0,3,6,3,TRAINING,0,unknown,unknown
282,0,0,None,0,White,African American,0,3,6,3,TRAINING,0,unknown,unknown
283,0,0,None,0,White,Unknown,2,3,0,3,SOUTH,1,unknown,unknown
284,0,0,None,0,Multi-Racial,African American,0,3,4,1,WEST,2,unknown,unknown
285,0,0,None,0,White,White,0,3,6,1,TRAINING,0,unknown,unknown
286,0,0,None,0,Asian,Unknown,2,6,3,1,SOUTHWEST,2,unknown,unknown
287,0,0,None,0,White,African American,0,3,3,2,NORTH,1,unknown,unknown
288,0,0,None,0,White,Unknown,2,4,6,2,EAST,0,unknown,unknown
289,0,0,None,0,White,Unknown,2,6,0,2,SOUTHWEST,2,unknown,unknown
290,0,0,None,0,White,Multi-Racial,0,4,0,2,WEST,2,unknown,unknown
291,0,0,None,0,African American,African American,0,3,0,2,WEST,2,unknown,unknown
292,0,0,None,0,White,Hispanic,0,5,2,3,MAJOR,0,unknown,unknown
293,0,0,None,0,Hispanic,White,0,5,3,2,SOUTHWEST,2,unknown,unknown
294,0,0,None,0,Hispanic,African American,0,5,3,2,SOUTH,1,unknown,unknown
295,0,0,None,0,Hispanic,African American,0,5,3,2,SOUTH,1,unknown,unknown
296,0,0,None,1,Asian,African American,0,4,5,2,SOUTH,3,unknown,unknown
297,0,0,None,1,White,White,0,3,0,1,NORTH,3,theft,theft
298,0,0,None,0,White,White,0,4,6,2,EAST,3,unknown,unknown
299,0,0,None,0,White,Unknown,2,4,4,3,NORTH,2,unknown,unknown
300,0,0,None,0,White,African American,0,2,3,2,TRAINING,0,unknown,unknown
301,0,0,None,1,White,White,0,3,1,3,SOUTH,3,unknown,unknown
302,0,0,None,0,White,Unknown,2,2,2,2,TRAINING,0,unknown,unknown
303,0,0,None,0,White,Unknown,0,3,2,3,EAST,3,unknown,unknown
304,0,0,None,0,White,Unknown,2,3,2,3,EAST,3,unknown,unknown
305,0,0,None,0,White,Unknown,2,4,3,2,SOUTHWEST,2,unknown,unknown
306,0,0,None,0,African American,African American,0,4,4,3,NORTH,2,unknown,unknown
307,0,0,None,0,White,Unknown,2,3,0,2,EAST,3,unknown,unknown
308,0,0,None,1,White,African American,0,5,6,3,WEST,3,unknown,unknown
309,0,0,None,0,White,African American,0,3,2,2,SOUTHWEST,2,unknown,unknown
310,0,0,None,0,Hispanic,African American,1,5,5,2,SOUTH,1,unknown,unknown
311,0,0,None,0,White,White,1,3,4,2,NORTH,1,unknown,unknown
312,0,0,None,0,White,African American,0,5,0,1,SOUTHWEST,1,unknown,unknown
313,0,0,None,0,White,Hispanic,0,5,0,1,SOUTHWEST,1,unknown,unknown
314,0,0,None,0,White,Unknown,2,2,3,2,NORTH,3,unknown,unknown
315,0,0,None,0,Hispanic,African American,0,5,5,3,SOUTH,1,unknown,unknown
316,0,0,None,0,White,White,0,2,6,1,TRAINING,0,unknown,unknown
317,0,0,None,0,White,African American,0,4,6,1,NORTH,3,unknown,unknown
318,0,0,None,0,Hispanic,White,1,5,6,2,SOUTH,1,unknown,unknown
319,0,0,None,0,Hispanic,African American,0,5,6,2,SOUTH,1,unknown,unknown
320,0,0,None,0,White,Unknown,0,3,6,2,SOUTHWEST,3,unknown,unknown
321,0,0,None,0,White,Unknown,2,3,4,1,SOUTHWEST,3,unknown,unknown
322,0,0,None,0,Hispanic,White,0,5,5,2,SOUTH,1,unknown,unknown
323,0,0,None,0,White,Unknown,2,2,1,2,EAST,2,unknown,unknown
324,0,0,None,0,Hispanic,Hispanic,0,4,1,2,SOUTH,0,unknown,unknown
325,0,0,None,0,Multi-Racial,White,0,3,3,2,WEST,2,unknown,unknown
326,0,0,None,0,African American,White,0,3,4,2,WEST,2,theft,theft
327,0,1,None,0,Unknown,White,1,3,6,3,NORTH,3,unknown,unknown
328,0,0,None,0,African American,African American,0,4,6,1,TRAINING,0,suspicious,weapon
329,0,0,None,0,White,Unknown,2,3,1,2,EAST,2,theft,theft
330,0,0,None,0,African American,White,0,5,5,1,NORTH,1,suspicious,suspicious
331,0,0,None,0,White,African American,0,3,0,1,TRAINING,0,unknown,unknown
332,0,0,None,0,White,White,1,5,2,2,MAJOR,0,unknown,unknown
333,0,0,None,0,White,Native,0,3,2,3,TRAINING,0,unknown,unknown
334,0,0,None,0,White,Unknown,0,3,6,1,NORTH,1,unknown,unknown
335,0,0,None,0,Multi-Racial,African American,0,3,3,2,WEST,2,unknown,unknown
336,0,0,None,0,White,White,0,3,2,2,TRAINING,0,unknown,unknown
